Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
178392265	The Ultimate Hitchhiker's Guide to the Galaxy	5	Adams, Douglas	Author			Del Rey (2002), 832 pages	2002					The Ultimate Hitchhiker's Guide to the Galaxy by Douglas Adams (2002)	Paperback	832 p.; 6.1 inches	1.7 pounds	6.1 inches	9.2 inches	1.4 inches	6.1 x 1.4 x 9.2 inches	832 								Your library	English	English	PR6051.D3352	[0345453743]	0345453743, 9780345453747		823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period		1	amazon.com all media	[2020-02-01]			9440376				
178392270	Eichmann in Jerusalem: A Report on the Banality of Evil (Penguin Classics)	1	Arendt, Hannah	Author			Penguin Classics (2006), Edition: 1, 336 pages	2006					Eichmann in Jerusalem: A Report on the Banality of Evil (Penguin Classics) by Hannah Arendt (2006)	Paperback	336 p.; 5.13 x 0.56 inches	0.06 pounds	0.56 inches	7.71 inches	5.13 inches	0.56 x 5.13 x 7.71 inches	336 								Your library	English	English	DD247.E5	[9780143039884]	9780143039884, 0143039881	Eichmann, Adolf, 1906-1962|Holocaust, Jewish (1939-1945)|Jews > Europe > Persecutions|Jews > Europe. > Persecutions|Jews > Persecutions > Europe|Juifs > Europe > Pers�ecutions|War crime trials > Israel > Jerusalem > Eichmann case, 1961-1962|War crime trials > Jerusalem	940.5318092	1918- > Europe > Europe > History and Geography > History, geographic treatment, biography > Holocaust > Holocaust victims biographies and autobiographies > Social, political, economic history; Holocaust > World War II		1	amazon.com books	[2020-02-01]			3485				
178392285	Auden: Poems (Everyman's Library Pocket Poets Series)	1	Auden, W. H.	Author			Everyman's Library (1995), 256 pages	1995					Auden: Poems (Everyman's Library Pocket Poets Series) by W. H. Auden (1995)	Hardcover	256 p.; 4.39 inches	0.5 pounds	4.39 inches	6.48 inches	0.74 inches	4.39 x 0.74 x 6.48 inches	256 								Your library	English	English	PR6001.U4	[0679443673]	0679443673, 9780679443674		821.912	1900-1944 > 20th Century > English poetry > English {except North American} > Literature > Modern period 1900-		1	amazon.com books	[2020-02-01]			23324				
178392290	Confessions (Oxford World's Classics)	1	Augustine, Saint	Author			Oxford University Press (2009), Edition: 1, 311 pages	2009					Confessions (Oxford World's Classics) by Saint Augustine (2009)	Paperback	311 p.; 7.5 inches	0.53 pounds	7.5 inches	4 inches	0.9 inches	7.5 x 0.9 x 4 inches	311 								Your library	English	English	BR65.A6 E5	[0199537828]	0199537828, 9780199537822	Apologetics > Early church, ca. 30-600|Augustine, Saint, Bishop of Hippo|Augustine, Saint, Bishop of Hippo. cn|Bishops > Algeria > Hippo (Extinct city) > Biography|Bishops > Hippo (Extinct city) > Biography|Catholic Church > Algeria > Hippo > Bishops > Biography|Catholic Church > Algeria > Hippo (Extinct city) > Bishops > Biography|Catholic Church > Bishops > Biography|Catholic Church > Hippo (Extinct city) > Bishops > Biography|Christian literature, Early > Latin authors|Christian saints > Algeria > Biography|Christian saints > Algeria > Hippo > Biography|Christian saints > Algeria > Hippo (Extinct city) > Biography|Christian saints > Hippo (Extinct city) > Biography|Hippo (Extinct city)|Hippo (Extinct city) > Biography|Saints > Biography|Theology|Theology > Early works to 1800|theology	270.2092	History of Christianity > History, geographic treatment, biography of Christianity > Period of ecumenic councils; Centralization (325-787) > Religions		1	amazon.com books	[2020-02-01]			9036				
178392295	The Annotated Pride and Prejudice	5	Austen, Jane	Author			Anchor Books (2007), Edition: Reprint, 739 pages	2007					The Annotated Pride and Prejudice by Jane Austen (2007)	Paperback	739 p.; 5.21 inches	1.29 pounds	5.21 inches	8 inches	1.33 inches	5.21 x 1.33 x 8 inches	739 								Your library	English	English	PR4034 .P7	[0307278107]	0307278107, 9780307278104		823.7	Early 19th century 1800-37 > English fiction > English {except North American} > Literature		1	amazon.com books	[2020-02-01]			6815042				
178392298	Sense and Sensibility (Penguin Classics)	1	Austen, Jane	Author			Penguin Classics (2003), Edition: Reissue, 368 pages	2003					Sense and Sensibility (Penguin Classics) by Jane Austen (2003)	Paperback	368 p.; 5.08 inches	0.69 pounds	5.08 inches	7.78 inches	0.99 inches	5.08 x 0.99 x 7.78 inches	368 								Your library	English	English	PR4034 .S4	[0141439661]	0141439661, 9780141439662	Austen, Jane, 1775-1817. Sense and sensibility|Domestic Fiction|Domestic fiction|England > Fiction|England > Fiction. > 19th century|England > Social life and customs > 18th century > Fiction|England > Social life and customs > 19th century > Fiction|England > fiction|Great Britain > Social life and customs > 19th century > Fiction|Inheritance and succession > Fiction|Love Stories|Love stories|Mate selection > Fiction|SIsters > Fiction|Sisters > Fiction|Social classes > Fiction|Young women > England > Fiction|Young women > Fiction	823.7	Early 19th century 1800-37 > English fiction > English {except North American} > Literature		1	amazon.com books	[2020-02-01]			2228				
178392300	The Noise of Time: A novel	5	Barnes, Julian	Author			Knopf (2016), Edition: First Edition, 224 pages	2016					The Noise of Time: A novel by Julian Barnes (2016)	Hardcover	224 p.; 6.1 inches	0.7 pounds	6.1 inches	8.5 inches	1.3 inches	6.1 x 1.3 x 8.5 inches	224 								Your library	English	English	PR6052.A6657 N65	[1101947241]	1101947241, 9781101947241		823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period		1	amazon.com books	[2020-02-01]			16984653				
178392304	Defending Life: A Moral and Legal Case Against Abortion Choice	1	Beckwith, Francis J.	Author			Cambridge University Press (2007), Edition: unknown, 314 pages	2007					Defending Life: A Moral and Legal Case Against Abortion Choice by Francis J. Beckwith (2007)	Paperback	314 p.; 6.38 inches	0.97 pounds	6.38 inches	9.21 inches	0.75 inches	6.38 x 0.75 x 9.21 inches	314 								Your library	English	English	HQ767 .B427	[0521691354]	0521691354, 9780521691352	Abortion|Abortion > Moral and ethical aspects	363.46	Abortion > Drugs, Abortion, Pornography > Other social problems and services > Social problems and services; associations > Social sciences		1	amazon.com books	[2020-02-01]			3332426				
178392318	Stalingrad: The Fateful Siege: 1942-1943	1	Beevor, Antony	Author			Penguin Books (1999), Edition: 1st, 493 pages	1999					Stalingrad: The Fateful Siege: 1942-1943 by Antony Beevor (1999)	Paperback	493 p.; 8.83 inches	1.05 pounds	8.83 inches	1.14 inches	5.42 inches	8.83 x 5.42 x 1.14 inches	493 								Your library	English	English	D764.S7 B37	[9780140284584]	9780140284584, 0140284583	Stalingrad, Battle of, 1942-1943|Stalingrad, Battle of, Volgograd, Russia, 1942-1943|Stalingrad, Battle of, Volgograd, Russia, 1942-1943 > Personal narratives|Stalingrad, battle of, Volgograd, Russia, 1942-1943	940.5421785	1918- > Campaigns and battles by theatre > Europe > Europe > European theatre > History and Geography > Military History Of World War II		1	amazon.com all media	[2020-02-01]			9569				
178392332	Poems	1	Bishop, Elizabeth	Author			Farrar, Straus and Giroux (2011), Edition: Original, 368 pages	2011					Poems by Elizabeth Bishop (2011)	Paperback	368 p.; 6.31 inches	1.2 pounds	6.31 inches	8.84 inches	1.07 inches	6.31 x 1.07 x 8.84 inches	368 								Your library	English	English	PS3503.I785 A6	[0374532362]	0374532362, 9780374532369		811.54	1945-1999 > 20th Century > American poetry > English (North America) > Literature		1	amazon.com books	[2020-02-01]			8274144				
178392336	The Complete Poetry & Prose of William Blake	5	Blake, William	Author			Anchor (1997), Edition: Revised, 990 pages	1982					The Complete Poetry & Prose of William Blake by William Blake (1982)	Paperback	1016 p.; 5.98 inches	2.96 pounds	5.98 inches	9.12 inches	2.3 inches	5.98 x 2.3 x 9.12 inches	1016 								Your library	English	English	PR4141 .E7	[0385152132]	0385152132, 9780385152136		821.7	Early 19th century 1800-37 > English poetry > English {except North American} > Literature		1	amazon.com books	[2020-02-01]			23620364				
178392344	The Closing of the American Mind	5	Bloom, Allan	Author			Simon & Schuster (1988), Edition: 1st Touchstone Ed, 392 pages	1988					The Closing of the American Mind by Allan Bloom (1988)	Paperback	392 p.; 5.25 inches	0.97 pounds	5.25 inches	8.25 inches	1 inch	5.25 x 1 x 8.25 inches	392 								Your library	English	English	LA227 .B584	[0671657151]	0671657151, 9780671657154	Education, Higher > Political aspects > United States|Education, Higher > United States > Philosophy|Education, Higher > United States. > Political aspects|Education, Humanistic > United States|United States > Intellectual life > 20th century	973.92	1901- > Eisenhower Through Clinton Administrations > History and Geography > North America > United States		1	amazon.com books	[2020-02-01]			16449				
178392347	Medicine in Art (A Guide to Imagery)	1	Bordin, Giorgio	Author			J. Paul Getty Museum (2010), Edition: 1, 384 pages	2010					Medicine in Art (A Guide to Imagery) by Giorgio Bordin (2010)	Paperback	384 p.; 5.25 inches	1.53 pounds	5.25 inches	7.75 inches	0.9 inches	5.25 x 0.9 x 7.75 inches	384 								Your library	English	English	N8223 .B6713	[1606060449]	1606060449, 9781606060445		704.9	Arts and Recreation > Iconography > Special topics in fine and decorative arts > The Arts / Fine and decorative arts		1	amazon.com books	[2020-02-01]			10430229				
178392354	Labyrinths (New Directions Paperbook)	1	Borges, Jorge Luis	Author			New Directions (2007), Edition: Reprint, 240 pages	2007					Labyrinths (New Directions Paperbook) by Jorge Luis Borges (2007)	Paperback	256 p.; 5.2 inches	0.58 pounds	5.2 inches	8 inches	0.8 inches	5.2 x 0.8 x 8 inches	256 								Your library	English	English	PQ7797.B635 L3	[0811216993]	0811216993, 9780811216999	Argentina > Fiction|Argentina > Social life and customs > Fiction|Borges, Jorge Luis, 1899- > Translations into English|Borges, Jorge Luis, 1899-1986 > Translations into English|English literature > Translations from Spanish|Spanish literature > Translations into English				1	amazon.com books	[2020-02-01]			607				
178392366	The Book of Sand and Shakespeare's Memory (Penguin Classics)	5	Borges, Jorge Luis	Author			Penguin Classics (2007), Edition: Reprint, 176 pages	2007					The Book of Sand and Shakespeare's Memory (Penguin Classics) by Jorge Luis Borges (2007)	Paperback	176 p.; 5.07 inches	0.31 pounds	5.07 inches	7.7 inches	0.47 inches	5.07 x 0.47 x 7.7 inches	176 								Your library	English	English	PQ7797.B635 L513	[9780143105299]	9780143105299, 0143105299		813	American fiction > English (North America) > Literature		1	amazon.com books	[2020-02-01]			11517408				
178392369	Collected Fictions	1	Borges, Jorge Luis	Author			Penguin Books (1999), 565 pages	1999					Collected Fictions by Jorge Luis Borges (1999)	Paperback	565 p.; 8.37 inches	1.34 pounds	8.37 inches	1.5 inches	5.78 inches	8.37 x 5.78 x 1.5 inches	565 								Your library	English	English	PQ7797.B635 A24	[0140286802]	0140286802, 9780140286809	Borges, Jorge Luis, 1899- > Translations into English|Borges, Jorge Luis, 1899-1986 > Translations into English	863	Literature > Spanish and Portuguese > Spanish fiction		1	amazon.com all media	[2020-02-01]			25106				
178392374	The Book of Imaginary Beings (Penguin Classics Deluxe Edition)	5	Borges, Jorge Luis	Author			Penguin Classics (2006), 236 pages	2006					The Book of Imaginary Beings (Penguin Classics Deluxe Edition) by Jorge Luis Borges (2006)	Paperback	236 p.; 8.38 inches	0.62 pounds	8.38 inches	0.72 inches	5.63 inches	8.38 x 5.63 x 0.72 inches	236 								Your library	English	English	GR825 .B613	[9780143039938]	9780143039938, 0143039938	Animals, Mythical|Bestiaries	398.469	Animals > Customs, Etiquette, Folklore > Folklore > Legendary minerals, plants, animals > Paranatural and legendary phenomena as subjects of folklore > Social sciences		1	amazon.com all media	[2020-02-01]			23522				
178392375	Wuthering Heights (Barnes & Noble Classics)	1	Bronte, Emily	Author			Barnes & Noble Classics (2005), Edition: 12th printing, 400 pages	2005					Wuthering Heights (Barnes & Noble Classics) by Emily Bronte (2005)	Paperback	400 p.; 5.19 inches	0.75 pounds	5.19 inches	8 inches	1 inch	5.19 x 1 x 8 inches	400 								Your library	English	English	PR4172	[1593081286]	1593081286, 9781593081287	Adaptations|Bront�e, Emily, 1818-1848. Wuthering Heights|Bront�e, Emily, 1818-1848. Wuthering Heights > Examinations > Study guides|Bront�e, Emily, 1818-1848. Wuthering heights|Bront�e, Emily, 1818-1848. Wuthering Heights|Bront�e, Emily, 1818-1848. Wuthering heights|Comic books, strips, etc|Country life > England > Yorkshire > Fiction|Country life > Yorkshire > Fiction|Domestic Fiction|Domestic fiction|Drama|England > Fiction|England > Fiction. > 19th century|England > Social life and customs > 19th century > Fiction|England > fiction|English fiction|Features|Fiction in English|Foundlings > Fiction|Large Type Books|Large type books|Love > Drama|Love > Fiction|Love Stories|Love stories|Psychological fiction|Rejection (Psychology) > Fiction|Rural families > Fiction|Triangles (Interpersonal relations) > Fiction|Videodiscs|Yorkshire (England) > Fiction|Yorkshire (England) > Social life and customs > 19th century > Fiction|drama|fiction in English	823.8	English fiction > English {except North American} > Literature > Victorian period 1837-1900		1	amazon.com books	[2020-02-01]			1538				
178392381	Augustine of Hippo: A Biography	1	Brown, Peter	Author			University of California Press (2013), Edition: First Edition, Forty-Fifth Anniversary, 568 pages	2013					Augustine of Hippo: A Biography by Peter Brown (2013)	Paperback	568 p.; 5.37 inches	1.43 pounds	5.37 inches	8.5 inches	1.3 inches	5.37 x 1.3 x 8.5 inches	568 								Your library	English	English	BR1720.A9 B7	[0520280415]	0520280415, 9780520280410	Augustine, Saint, Bishop of Hippo|Christian saints > Hippo (Extinct city) > Biography	270.2092	History of Christianity > History, geographic treatment, biography of Christianity > Period of ecumenic councils; Centralization (325-787) > Religions		1	amazon.com books	[2020-02-01]			87505				
178392386	The Tyranny of Guilt: An Essay on Western Masochism	5	Bruckner, Pascal	Author			Princeton University Press (2010), Edition: 1st, 264 pages	2010					The Tyranny of Guilt: An Essay on Western Masochism by Pascal Bruckner (2010)	Hardcover	264 p.; 6 inches	0.9 pounds	6 inches	8.75 inches	1.25 inches	6 x 1.25 x 8.75 inches	264 								Your library	English	English	CB245 .B7613	[0691143765]	0691143765, 9780691143767		909.09821	Atlantic > History > History and Geography > Ocean And Sea Basins > Other Classifications > Other Geographic Classifications > World history		1	amazon.com	[2020-02-01]			1818463				
178392389	Perpetual Euphoria: On the Duty to Be Happy	1	Bruckner, Pascal	Author			Princeton University Press (2011), Edition: 1st Edition, 256 pages	2011					Perpetual Euphoria: On the Duty to Be Happy by Pascal Bruckner (2011)	Hardcover	256 p.; 6 inches	0.88 pounds	6 inches	9 inches	0.75 inches	6 x 0.75 x 9 inches	256 								Your library	English	English	BJ1482 .B7813	[0691143730]	0691143730, 9780691143736		170	Ethics > Ethics -- Subdivisions > Philosophy and Psychology		1	amazon.com books	[2020-02-01]			997707				
178392396	Godric: A Novel	1	Buechner, Frederick	Author			HarperOne (1999), Edition: Reissue, 192 pages	1999					Godric: A Novel by Frederick Buechner (1999)	Paperback	192 p.; 7.8 inches	0.45 pounds	7.8 inches	0.7 inches	5.2 inches	7.8 x 5.2 x 0.7 inches	192 								Your library	English	English	PS3552.U35 G6	[0060611626]	0060611626, 9780060611620	Biographical fiction|Christian fiction|Christian saints > Fiction|Godric, Saint, d. 1170 > Fiction|biographical fiction	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature		1	amazon.com books	[2020-02-01]			97343				
178392402	Among the Thugs	1	Buford, Bill	Author			Vintage (1993), Edition: Reprint, 320 pages	1993					Among the Thugs by Bill Buford (1993)	Paperback	320 p.; 5.2 inches	0.53 pounds	5.2 inches	8 inches	0.7 inches	5.2 x 0.7 x 8 inches	320 								Your library	English	English	GV943.F35 B84	[0679745351]	0679745351, 9780679745358	Hoodlums > Great Britain|Soccer > Great Britain. > Social aspects|Soccer > Social aspects > Great Britain|Soccer fans > Great Britain				1	amazon.com books	[2020-02-01]			859				
178392408	A Clockwork Orange	3	Burgess, Anthony	Author			W. W. Norton & Company (1995), 213 pages	1995					A Clockwork Orange by Anthony Burgess (1995)	Paperback	213 p.; 5.5 inches	0.42 pounds	5.5 inches	8.3 inches	0.6 inches	5.5 x 0.6 x 8.3 inches	213 								Your library	English	English	PR6052.U638	[0393312836]	0393312836, 9780393312836	Adaptations|Crime films and programs|Criminals > Fiction|Dystopias|Features|Juvenile delinquents > Rehabilitation > Fiction|Satire|Science Fiction|Science fiction|Teenage boys > Fiction|Videodiscs|satire|science fiction	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period		1	amazon.com books	[2020-02-01]			1473				
178392416	Cosmicomics	1	Calvino, Italo	Author			Harcourt Brace Jovanovich (1976), Edition: 1st, 153 pages	1976					Cosmicomics by Italo Calvino (1976)	Paperback	153 p.; 5.31 inches	0.4 pounds	5.31 inches	8 inches	0.44 inches	5.31 x 0.44 x 8 inches	153 								Your library	English	English	PZ3.C13956 C	[0156226006]	0156226006, 9780156226004	Italy > Fiction|Italy > Social life and customs > Fiction	853.914	1900- > 1945-1999 > 20th Century > Italian > Italian fiction > Literature		1	amazon.com all media	[2020-02-01]			23501				
178392419	Invisible Cities	1	Calvino, Italo	Author			Harcourt Brace Jovanovich (1978), 176 pages	1978					Invisible Cities by Italo Calvino (1978)	Paperback	176 p.; 8.01 inches	0.39 pounds	8.01 inches	0.47 inches	5.43 inches	8.01 x 5.43 x 0.47 inches	176 								Your library	English	English	PQ4809.A45 C513	[0156453800]	0156453800, 9780156453806	Biographical fiction|Italian fiction|Kublai Khan, 1216-1294 > Fiction|Polo, Marco, 1254-1323 > Fiction|Polo, Marco, 1254-1323? > Fiction|Polo, Marco, 1254?-1323? > Fiction|biographical fiction	853.914	1900- > 1945-1999 > 20th Century > Italian > Italian fiction > Literature		1	amazon.com all media	[2020-02-01]			15614				
178392424	The Hero with a Thousand Faces (The Collected Works of Joseph Campbell)	5	Campbell, Joseph	Author			New World Library (2008), Edition: Third, 432 pages	2008					The Hero with a Thousand Faces (The Collected Works of Joseph Campbell) by Joseph Campbell (2008)	Hardcover	432 p.; 5.8 inches	1.45 pounds	5.8 inches	8.6 inches	1.4 inches	5.8 x 1.4 x 8.6 inches	432 								Your library	English, French	English	BL313 .C28	[1577315936]	1577315936, 9781577315933	Mythology|Mythology > Dictionaries|Psychoanalysis|Talking books|mythology|psychoanalysis	291.13	Archetypal Mythology > Comparative Religion; Mythology (No Longer Used) > Mythologies > Other Religions > Religions		1	amazon.com books	[2020-02-01]			39418				
178392429	The Rebel: An Essay on Man in Revolt	5	Camus, Albert	Author			Vintage (1992), Edition: Reissue, 320 pages	1992					The Rebel: An Essay on Man in Revolt by Albert Camus (1992)	Paperback	320 p.; 5.12 inches	0.5 pounds	5.12 inches	7.99 inches	0.66 inches	5.12 x 0.66 x 7.99 inches	320 								Your library	English	English	HM281 .C3513	[0679733841]	0679733841, 9780679733843	Good and evil|Revolutions	303.64	Civil war and revolution > Conflict and conflict resolution ; Violence > Social Processes > Social Sciences > Social sciences		1	amazon.com books	[2020-02-01]			3868250				
178392438	The Fall	5	Camus, Albert	Author			Vintage Books (1991), 147 pages	1991					The Fall by Albert Camus (1991)	Paperback	147 p.; 5.16 inches	0.33 pounds	5.16 inches	8 inches	0.42 inches	5.16 x 0.42 x 8 inches	147 								Your library	English	English	PQ2605.A3734 C513	[0679720227]	0679720227, 9780679720225	French literature > 20th century > Translations into English	843.914	1945-1999 > 20th Century > French > French fiction > Literature > Modern Period		1	amazon.com books	[2020-02-01]			8482				
178392439	Alice's Adventures in Wonderland and Through the Looking Glass	1	Carroll, Lewis	Author			Bloomsbury USA (2003), Edition: 2nd Printing, 416 pages	2003					Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll (2003)	Paperback	416 p.; 4.88 inches	0.73 pounds	4.88 inches	8.14 inches	1.07 inches	4.88 x 1.07 x 8.14 inches	416 								Your library	English	English	PZ7.D684 A	[1582343632]	1582343632, 9781582343631	Alice (Ficticious character : Carroll) > Fiction|Alice (Fictitious character : Carroll)|Alice (Fictitious character : Carroll) > Fiction|Alice (Fictitious character : Carroll) > Juvenile fiction|Carroll, Lewis, 1832-1898 > Adaptations > History and criticism|Carroll, Lewis, 1832-1898 > Appreciation > English-speaking countries|Carroll, Lewis, 1832-1898. Alice's adventures in Wonderland|Carroll, Lewis, 1832-1898. Alice's adventures in wonderland|Carroll, Lewis, 1832-1898. Through the looking glass|Children's stories|Children's stories, English|Children's stories, English > Adaptations > History and criticism|Children's stories, English|Fantasy|Fantasy Fiction, English|Fantasy fiction|Fantasy fiction, English|Fantasy fiction, English > Adaptations > History and criticism|Nonsense verses|Nonsense verses, English|Popular culture > English-speaking countries > History > 20th century|Through the looking glass|fantasy|fantasy fiction	823.8	English fiction > English {except North American} > Literature > Victorian period 1837-1900		1	amazon.com books	[2020-02-01]			777000				
178392442	Journey to the End of the Night	1	Céline, Louis-Ferdinand	Author			New Directions (2020), Edition: Edition Not Stated, 464 pages	2020					Journey to the End of the Night by Louis-Ferdinand Céline (2020)	Paperback	464 p.; 5.2 inches	0.94 pounds	5.2 inches	8 inches	1.3 inches	5.2 x 1.3 x 8 inches	464 								Your library	English	English	PQ2607.E834 V613	[9780811216548]	9780811216548, 0811216543		843.912	1900-1945 > 20th Century > French > French fiction > Literature > Modern Period		1	amazon.com books	[2020-02-01]			16424				
