title,lc,author,lc_class
The World As I See It,AC35.E528,Albert Einstein,AC
Selected Essays (Oxford World's Classics),B1455 .C65,David Hume,B
An Enquiry Concerning Human Understanding: with Hume's Abstract of A Treatise of Human Nature and A Letter from a Gentleman to His Friend in Edinburgh (Hackett Classics),B1480,David Hume,B
Groundwork of the Metaphysic of Morals by Immanuel Kant published by Harper Perennial (1964),B2766.E6,NONE,B
Critique of Pure Reason,B2778.E5 S6,Immanuel Kant,B
Critique of Judgment (Hackett Classics),B2783.E5 P58,Immanuel Kant,B
Socrates: A Man for Our Times,B317 .J65,Paul Johnson,B
Thus Spoke Zarathustra (Barnes & Noble Classics Series),B3313.A43 E5,Friedrich Nietzsche,B
On Certainty (Harper Perennial Modern Thought) (English and German Edition),B3376.W563,Ludwig Wittgenstein,B
Ludwig Wittgenstein: The Duty of Genius,B3376.W564 M59,Ray Monk,B
"Plato - Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",B358 .G78,Plato,B
Early Socratic Dialogues (Penguin Classics),B358 .S29,Plato,B
The Last Days of Socrates (Penguin Classics),B358 .T7,Plato,B
On the Improvement of the Understanding / The Ethics / Correspondence,B3958 .S45,Benedict de Spinoza,B
Papers and Journals: A Selection,B4372.E5 H26,Soren Kierkegaard,B
"Practice in Christianity : Kierkegaard's Writings, Vol 20",B4373.I532 E5,Soren Kierkegaard,B
"30-Second Philosophies: The 50 Most Thought-Provoking Philosophies, Each Explained in Half A Minute",B72 .T32,Barry (Editor) Loewer,B
A Short History of Modern Philosophy: From Descartes to Wittgenstein,B791 .S29,Roger Scruton,B
The Conservative Mind: From Burke to Eliot,B809 .K57,Russell Kirk,B
Search for a Method,B819 .S3363,Jean-Paul Sartre,B
The Examined Life: Philosophical Meditations,BD431 .N65,Robert Nozick,BD
The Undiscovered Self: The Dilemma of the Individual in Modern Society,BF173.J7253,C. G. Jung,BF
"Thinking, Fast and Slow",BF441 .K238,Daniel Kahneman,BF
Everything Is F*cked: A Book about Hope,BF575.H56 M26,Mark Manson,BF
The Four Tendencies,BF637.S4 R828,Gretchen Rubin,BF
The Gardener and the Carpenter: What the New Science of Child Development Tells Us About the Relationship Between Parents and Children,BF713 .G67,Alison Gopnik,BF
The Psychology Of The Child,BF721.P4813,Jean Piaget,BF
"The Philosophical Baby: What Children's Minds Tell Us About Truth, Love, and the Meaning of Life",BF723.C5 G675,Alison Gopnik,BF
The Theory of Moral Sentiments,BJ1005 .S6,Adam Smith,BJ
How Adam Smith Can Change Your Life: An Unexpected Guide to Human Nature and Happiness,BJ1005.S6453 R63,Russ Roberts,BJ
Perpetual Euphoria: On the Duty to Be Happy,BJ1482 .B7813,Pascal Bruckner,BJ
The Language of God: A Scientist Presents Evidence for Belief,BL240 .C66,Francis S. Collins,BL
"Atheist Manifesto: The Case Against Christianity, Judaism, and Islam",BL2747 .O5413,Michel Onfray,BL
The Portable Atheist: Essential Readings for the Nonbeliever,BL2747 .P64,Christopher Hitchens,BL
God Is Not Great: How Religion Poisons Everything,BL2775 .H58,Christopher Hitchens,BL
The Hero with a Thousand Faces (The Collected Works of Joseph Campbell),BL313 .C28,Joseph Campbell,BL
The Everlasting Man,BL48 .C5,G. K. Chesterton,BL
Violence and the Sacred,BL600 .G5413,René Girard,BL
The Soul of the World,BL626 .S38,Roger Scruton,BL
Souls on Fire: Portraits and Legends of Hasidic Masters,BM198 .W513,Elie Wiesel,BM
The Qur'an (Oxford World's Classics),BP109,M. A. S. Abdel Haleem,BP
What Do Muslims Believe?: The Roots and Realities of Modern Islam,BP161.3 .S37,Ziauddin Sardar,BP
"A Mosque in Munich: Nazis, the CIA, and the Rise of the Muslim Brotherhood in the West",BP65.G3 J64,Ian Johnson,BP
"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice (Shambhala Library)",BQ9288 .S994,Shunryu Suzuki,BQ
Fear and Trembling (Penguin Classics),BR100 .K52,Soren Kierkegaard,BR
Orthodoxy (Barnes & Noble Library of Essential Reading),BR121 .C5,G. K. Chesterton,BR
